id,name_of_interviewer,district,female,age_40_and_above,farmer_laborer,health_yes_some_diff_2,health_yes_a_lot_3,caste_BC,caste_NGTJ,caste_Dal,caste_Other,are_main_problems_addressed,biggest_prob,satisfied_with_gov,top_thing_gov,information_about_gov_support,a_Top_need_info,satisfied_with_ngos,a_Top_need_NGOs,is_support_fair,a_Top_reason_not_fair,prepared_for_winter,have_been_heard,relief_effort_progress,a_Top_problem_women
736272,Suruchi Pant,Kathmandu,1,1,0,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,building_mater,,,4.0,,,,4.0,1.0,,long_term_shelter__housing
736268,Suruchi Pant,Kathmandu,0,1,0,0,0,0,1,0,0,2.0,long_term_shelter__housing,1.0,cash_for_work,2.0,news_about_government_decision,2.0,building_mater,2.0,based_on_caste,4.0,2.0,2.0,
736262,Suruchi Pant,Kathmandu,0,1,0,0,0,0,1,0,0,2.0,long_term_shelter__housing,2.0,building_mater,2.0,news_about_government_decision,4.0,,2.0,based_on_caste,4.0,1.0,1.0,
736160,Jharana RaI,Kathmandu,1,0,0,1,0,0,1,0,0,3.0,long_term_shelter__housing,3.0,building_mater,4.0,,3.0,building_mater,3.0,based_on_dista,4.0,3.0,3.0,
736147,Anjal Bhatta,Kathmandu,1,0,0,0,0,0,1,0,0,3.0,short_term_she,3.0,building_mater,3.0,news_about_government_decision,3.0,building_mater,3.0,based_on_polit,4.0,3.0,2.0,
736138,Anjal Bhatta,Kathmandu,1,1,0,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,2.0,news_about_government_decision,2.0,building_mater,2.0,first_come__fi,3.0,3.0,2.0,long_term_shelter__housing
736112,Jharana Rai,Kathmandu,0,1,1,1,0,0,1,0,0,3.0,short_term_she,3.0,building_mater,4.0,,3.0,building_mater,3.0,based_on_polit,4.0,3.0,3.0,
736097,Jharana Rai,Kathmandu,1,1,0,0,0,0,1,0,0,3.0,long_term_shelter__housing,3.0,building_mater,3.0,news_about_government_decision,3.0,building_mater,3.0,based_on_polit,3.0,3.0,3.0,long_term_shelter__housing
736082,Jharana Rai,Kathmandu,1,0,0,0,0,0,1,0,0,3.0,long_term_shelter__housing,2.0,building_mater,4.0,,3.0,building_mater,4.0,,4.0,3.0,3.0,other
736031,Jharana Rai,Kathmandu,1,1,0,0,0,0,1,0,0,3.0,long_term_shelter__housing,2.0,building_mater,3.0,news_about_government_decision,2.0,building_mater,4.0,,4.0,3.0,3.0,long_term_shelter__housing
735992,Anjal Bhatta,Kathmandu,1,1,0,0,0,0,1,0,0,3.0,long_term_shelter__housing,2.0,building_mater,2.0,news_about_government_decision,2.0,building_mater,4.0,,4.0,3.0,3.0,
735959,Anjal Bhatta,Kathmandu,1,0,0,1,0,1,0,0,0,3.0,long_term_shelter__housing,3.0,building_mater,3.0,news_about_government_decision,3.0,building_mater,4.0,,4.0,3.0,3.0,long_term_shelter__housing
735933,Anjal Bhatta,Kathmandu,0,0,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,1.0,building_mater,2.0,news_about_government_decision,2.0,building_mater,3.0,first_come__fi,3.0,1.0,2.0,
736061,Jharana Rai,Kathmandu,1,0,0,0,0,0,1,0,0,3.0,long_term_shelter__housing,3.0,building_mater,4.0,,3.0,building_mater,3.0,based_on_dista,4.0,3.0,3.0,long_term_shelter__housing
735918,Anjal Bhatta,Kathmandu,0,1,0,0,0,0,1,0,0,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,3.0,4.0,
735910,Anjal Bhatta,Kathmandu,0,0,1,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,building_mater,4.0,,4.0,,4.0,,4.0,1.0,4.0,
735841,Anjal Bhatta,Kathmandu,1,0,0,0,0,0,0,0,1,3.0,financial_support,3.0,building_mater,3.0,news_about_government_decision,3.0,building_mater,3.0,based_on_polit,3.0,3.0,3.0,long_term_shelter__housing
735823,Paras Ranjit,Lalitpur,0,0,1,0,0,1,0,0,0,1.0,financial_support,1.0,building_mater,4.0,,5.0,,3.0,first_come__fi,3.0,1.0,1.0,
735811,Jharana Rai,Kathmandu,1,1,0,0,0,0,1,0,0,2.0,long_term_shelter__housing,2.0,building_mater,3.0,news_about_government_decision,3.0,building_mater,2.0,first_come__fi,4.0,2.0,2.0,long_term_shelter__housing
735801,Paras Ranjit,Lalitpur,0,0,1,0,0,1,0,0,0,1.0,long_term_shelter__housing,1.0,building_mater,4.0,,4.0,,3.0,based_on_caste,2.0,1.0,1.0,
735812,Paras Ranjit,Lalitpur,0,0,1,0,0,1,0,0,0,1.0,short_term_she,1.0,building_mater,4.0,,4.0,,2.0,based_on_caste,3.0,1.0,1.0,
735776,Jharana Rai,Kathmandu,1,1,0,0,0,0,1,0,0,3.0,long_term_shelter__housing,3.0,building_mater,3.0,news_about_government_decision,3.0,building_mater,3.0,based_on_caste,4.0,3.0,3.0,long_term_shelter__housing
723038,Dhirendra Dhamal,Makwanpur,0,0,0,0,0,1,0,0,0,1.0,housing_inspections,1.0,cash_for_work,1.0,news_about_government_decision,1.0,cash_for_work,1.0,based_on_polit,1.0,1.0,1.0,
723040,Naban prajapati,Bhaktapur,1,0,0,0,0,1,0,0,0,3.0,toilets_sanitation,3.0,housing_inspec,4.0,,4.0,,3.0,first_come__fi,3.0,4.0,3.0,healthcare
723044,Arjun Prasad Paudel,Rasuwa,0,1,1,1,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,1.0,news_about_government_decision,4.0,,2.0,based_on_polit,4.0,1.0,3.0,
723071,Umesh thapa,Bhaktapur,0,0,0,0,0,1,0,0,0,4.0,,4.0,,5.0,,5.0,,4.0,,4.0,3.0,3.0,
723075,Arjun Prasad Paudel,Rasuwa,0,0,0,0,0,0,1,0,0,1.0,long_term_shelter__housing,2.0,cash_for_work,1.0,news_about_government_decision,2.0,cash_for_work,2.0,based_on_polit,4.0,1.0,2.0,
